date,BTC,ETH,XRP
2019-04-22,156632203.0,45832751.06,21587169.33
2019-04-23,227154061.9,62784241.17,17746937.17
2019-04-24,262493252.9,70076178.28,35150213.67
2019-04-25,265091565.6,67326464.65,26604585.69
2019-04-26,259659705.7,78334214.87,21424107.75
2019-04-27,81749716.42,34294278.0,9887345.47
2019-04-28,76277087.37,24304182.14,8317449.559
2019-04-29,104822151.5,37892463.29,11919113.76
2019-04-30,117309839.2,48352308.35,24312231.57
2019-05-01,92194935.6,30965351.7,14743040.14
2019-05-02,124498567.2,46716417.01,10088286.69
2019-05-03,264435878.9,69185162.6,21177888.51
2019-05-04,228942582.5,51596174.4,20447567.12
2019-05-05,137653160.8,28659516.79,9074790.741
2019-05-06,144358553.9,86112232.48,15374911.62
2019-05-07,236176663.8,129206700.1,17309502.39
2019-05-08,136245255.6,50307994.58,10250241.42
2019-05-09,167489934.3,48482365.54,12951571.85
2019-05-10,231801342.4,73717438.65,14747914.74
2019-05-11,507216001.3,167180496.8,60813200.23
2019-05-12,619939454.5,157611011.7,44648222.81
2019-05-13,648012612.3,131102303.1,43588295.04
2019-05-14,611103206.0,179717430.3,233868919.3
2019-05-15,305196285.3,135054369.6,122406943.5
2019-05-16,557126171.3,452410350.1,197563549.0
2019-05-17,645676487.4,366429299.2,133157321.5
2019-05-18,271170511.1,160450040.8,55731993.67
2019-05-19,517729474.4,207383027.8,97668099.31
2019-05-20,517939277.9,165783106.1,73954519.42
2019-05-21,413637782.4,146749988.3,53950488.33
2019-05-22,384730220.7,149006735.6,63767561.92
2019-05-23,381536239.5,144051488.9,45712569.71
2019-05-24,371381043.7,111294049.4,49275420.86
2019-05-25,227376280.6,83665127.84,28713578.95
2019-05-26,409616322.4,115089467.8,37756572.67
2019-05-27,452651204.9,170250734.9,83039407.86
2019-05-28,273791910.6,110617403.7,107876505.1
2019-05-29,292094591.0,102868997.4,90894593.91
2019-05-30,603312537.4,289930479.4,155017970.6
2019-05-31,373629673.9,154783065.8,81751522.21
2019-06-01,272098436.3,121851235.8,49238915.75
2019-06-02,241414596.7,80960737.41,44973534.63
2019-06-03,387155495.0,103602836.7,104328481.5
2019-06-04,582173398.3,154709331.3,89143978.18
2019-06-05,377635818.0,81839286.62,51543647.84
2019-06-06,282156410.5,72417630.0,76729329.76
2019-06-07,269125728.1,87644279.25,51138467.59
2019-06-08,179047320.0,46293916.79,31886670.37
2019-06-09,243970971.0,74594101.42,45513473.56
2019-06-10,287125340.0,75090336.66,43927195.38
2019-06-11,238031771.5,57549753.74,29435000.46
2019-06-12,333291726.6,84660448.57,31939889.17
2019-06-13,248418184.8,75447391.04,30894024.25
2019-06-14,333475488.6,84045849.54,28025633.51
2019-06-15,276420769.3,76053046.55,58839424.43
2019-06-16,574211343.0,123848161.5,75742406.87
2019-06-17,441567296.1,91807270.71,135725597.8
2019-06-18,470271954.3,85335852.93,108018660.6
2019-06-19,293748062.7,55665919.15,41253569.31
2019-06-20,323621848.2,53998507.96,39061819.45
2019-06-21,494783688.0,148641528.5,50628737.74
2019-06-22,1112069568.0,222036096.3,163666705.9
2019-06-23,625330374.7,131252843.5,77700320.64
2019-06-24,469746663.9,108439071.6,53803330.0
2019-06-25,697773986.3,108143161.2,73261711.58
2019-06-26,1996178375.0,341534154.5,136848810.8
2019-06-27,2058443849.0,315174509.7,128329754.9
2019-06-28,1129888341.0,161838706.8,57991632.69
2019-06-29,829011822.2,130425514.0,53627022.71
2019-06-30,971151050.9,149527443.6,48657002.57
2019-07-01,972343281.9,142871936.8,54871430.13
2019-07-02,1128353805.0,140020251.9,41865559.99
2019-07-03,1097804643.0,109262202.2,31538551.19
2019-07-04,775818897.4,79507234.74,28153103.43
2019-07-05,705853649.0,75165110.7,27193614.58
2019-07-06,585001376.2,57137782.6,37452447.11
2019-07-07,439439052.9,73170809.76,25937872.46
2019-07-08,618530684.4,88890021.75,27221148.63
2019-07-09,975986802.0,96199378.54,33777741.16
2019-07-10,1369749940.0,135779813.6,51886276.26
2019-07-11,1007356802.0,136450969.6,55859987.09
2019-07-12,649824820.8,72743548.04,42835211.79
2019-07-13,614050008.0,55323572.09,28675157.34
2019-07-14,777646151.6,130785859.0,41832098.15
2019-07-15,851028723.7,159784811.6,49982145.32
2019-07-16,982462166.7,151473621.6,49219244.81
2019-07-17,809555508.3,143020072.0,49013568.84
